city,classification
NELLMAPIUS EXT 4,LOCAL
NELSPRUIT,MAIN
NEW DOORNFONTEIN,LOCAL
NEW GERMANY,MAIN
NEWCASTLE,MAIN
NEWCENTRE,LOCAL
NEWLANDS,MAIN
NEWTOWN,LOCAL
NEWTOWN MOLEPOLOLE,LOCAL
NEWTOWN PARK,LOCAL
NGONI SECTION,N/A
NHLAZATSHE NO 5,OUTLYING
NHLENGANO,N/A
NIETGEDACHT,LOCAL
NIGEL,OUTLYING
NIRVANA,MAIN
NKONA NKONA,OUTLYING
Nkowa Nkowa,OUTLYING
NKOYAPHIRI MALL,N/A
NO 40038 WILGEVAAL OPPOSITE,OUTLYING
NONGOMA,OUTLYING
NOORDEWYK,LOCAL
NOORDWYK,LOCAL
NORTH DOORFONTEIN,LOCAL
NORTH END,MAIN
NORTH END PORT ELIZABETH,MAIN
NORTH WEST,N/A
NORTHAM,OUTLYING
NORTHERN CAPE,N/A
Northern Industrial Area,N/A
NORTHERN INDUSTRY,N/A
Northern Rd,N/A
NORTHMEAD,LOCAL
NORTHMEAD EXT 4,LOCAL
NORTHRIDING,LOCAL
NORTHWEST,N/A
NORWOOD,LOCAL
NQUTU,OUTLYING
NYAMBA YANGA,N/A
NZHELELE,OUTLYING
OBERHOLZER,OUTLYING
OBSERVATORY,LOCAL
ODENDAALSRUS,OUTLYING
Odendalsrus,OUTLYING
ODINBURG,LOCAL
OLD FNB BUILDING,N/A
OLD INDUSTRIAL,N/A
OLD KOOKFONTEIN FARM,N/A
OLD NEDBANK BUILDING,N/A
OLD VILLAGE MALL,N/A
OLIEVENHOUTBOSCH,LOCAL
OLIFANTS PLAZA,LOCAL
OLIVENHOUTBUSH,LOCAL
ONDANGWA,N/A
ONVERWACHT,OUTLYING
OPHIRTON,LOCAL
OPP PETROL PUMP RAVASIA,N/A
OPPOSITE KULUNGISA GARAGE,N/A
OPPOSITE LEHAKOE,N/A
OPPOSITE MALAMULELE STADIUM,N/A
OPPOSITE RAMOTSHERE,N/A
ORANGE FARM,OUTLYING
ORANJESIG,MAIN
ORANJEVILLE,OUTLYING
ORKNEY,OUTLYING
Orlando West,LOCAL
ORMONDE,LOCAL
OSHAKATI,N/A
OSHIKANGO,N/A
OTTAWA,MAIN
OU DORP,OUTLYING
OUDTSHOORN,OUTLYING
PAARDEN EILAND,MAIN
PAARL,OUTLYING
PALEDI,N/A
PALM RIDGE,LOCAL
PALMRIDGE,LOCAL
PAMPIERSTAD,OUTLYING
PARK CENTRAL,N/A
PARROW VALLEY,MAIN
PARYS,OUTLYING
PAUL PIETERSBURG,OUTLYING
Pearl Habour Crt,N/A
PERDEKOP,OUTLYING
PETERMARITZBURG,MAIN
PETIT,LOCAL
PHALABORWA,OUTLYING
PHALABOWRA MOTOR SPARES,OUTLYING
PHILIPPI,MAIN
PHIRTO BUILDING,N/A
PHOENIX,MAIN
PHOENIX INDUSTRIAL PARK,MAIN
PHOKENG,OUTLYING
PHOKWANE,OUTLYING
Phumulani Mall,LOCAL
PHUTADITJHABA,OUTLYING
PHUTHADITJABA,OUTLYING
PHUTHADITJHABA,OUTLYING
Piet Retief,OUTLYING
PIETERMARITZBURG,MAIN
PIGGS PEAK,N/A
PINETOWN,MAIN
PLANKENBRUG,N/A
PLOT 104 BOSHOEK,OUTLYING
PLOT 113 MOOIPLAATS,OUTLYING
POLOKWANE,MAIN
POMEROY,OUTLYING
POMONA,LOCAL
PONGOLA,OUTLYING
PORT ELIZABETH,MAIN
PORT SHEPTONE,MAIN
PORT ST JOHNS,OUTLYING
PORTLAND,N/A
POSTMASBURG,OUTLYING
POSTMUSBURG,OUTLYING
POTCH INDUSTRIA,OUTLYING
POTCHEFSTROOM,OUTLYING
Potchestroom,OUTLYING
PRETORIA,LOCAL
Pretoria - West,LOCAL
Pretoria Gardens,LOCAL
PRETORIA NORTH,LOCAL
PRETORIA WEST,LOCAL
PRIMROSE,LOCAL
PROSPERITA,N/A
PROTEA GLEN,LOCAL
PROTEA GLEN EXT 12,LOCAL
PROTEA NORTH,LOCAL
PUMULANI,LOCAL
QUAGGA,LOCAL
QUEENSMEAD,LOCAL
QUEENSTOWN,OUTLYING
QWA QWA,OUTLYING
R29 LESLIE,OUTLYING
RAINEY BUILDING,N/A
RAISETHORP,MAIN
RAMOTSE,OUTLYING
RANDBURG,LOCAL
RANDBURG RIDGE EXT 14,LOCAL
RANDFONTEIN,OUTLYING
RANDGATE,OUTLYING
RASLOUW GARDENS ESTATE,LOCAL
RATANDA,OUTLYING
RAVENSWOOD,LOCAL
REGENTS PARK,LOCAL
REIGER PARK,LOCAL
REITZ,OUTLYING
REUVEN,LOCAL
RICHARDS BAY,MAIN
RIETFONTEIN,LOCAL
RITA OPPOSITE MAAKE PLAZA,OUTLYING
RIVER RAND,N/A
RIVERSDALE,OUTLYING
RIVERSIDE,N/A
RIVERSIDE INDUSTRIAL PARK,MAIN
RIVONIA,LOCAL
ROBERT,LOCAL
ROBERTSHAM,LOCAL
ROCKVILLE,LOCAL
RONDEBULT,LOCAL
ROODEPOORT,LOCAL
ROODEPOORT STATION,LOCAL
ROSEBANK,LOCAL
ROSETTENVILLE,LOCAL
ROSSBURGH,MAIN
ROSSETTENVILLE,LOCAL
ROSSLYN,LOCAL
ROXANA HEIGHTS,LOCAL
RUSLOO,LOCAL
RUSTENBURG,OUTLYING
RUSTENBURG NOORD,OUTLYING
RUSTENBURG NORTH,OUTLYING
RUSTENBURG NW,OUTLYING
Rustenburg,OUTLYING
RYNFIELD,LOCAL
RYNSOORD,LOCAL
SABIE,OUTLYING
SABINA PLAZA,OUTLYING
SAKHILE,OUTLYING
SANDTON,LOCAL
SANDTON COURT,LOCAL
SANGWENI,LOCAL
SASOLBURG,OUTLYING
SAULSVILLE,LOCAL
SCHOEMANDSAL,OUTLYING
SCHOEMANSDAL,OUTLYING
SCHWEIZER RENEKE,OUTLYING
SEBENZA,LOCAL
SEBOKENG,OUTLYING
SECUNDA,OUTLYING
SEFOSONKE VILLAGE,REGIONAL
SELBY,LOCAL
Selebi Phikwe,N/A
SENWABARWANA,REGIONAL
SETLAGOLE VILLAGE,REGIONAL
SHALIMAR PARK,OUTLYING
Shallcross,MAIN
SHONGOANE 2,OUTLYING
SIBASA,OUTLYING
SIBASA MALL,OUTLYING
SIDWELL,MAIN
SILINDA BUILDING,N/A
SILOAM,OUTLYING
SILVERGLEN,MAIN
SILVERTAN DALE,LOCAL
SILVERTON,LOCAL
SINOVILLE,LOCAL
SIPHOFANENI,N/A
SIPTECH FUEL PUMP,N/A
SKHEMELEL,OUTLYING
SKHEMELELE,OUTLYING
