element,weight_band,price
16,70 to < 80,1507.66
16,80 to < 90,1838.74
16,90 to < 100,2170.65
16,100 to < 150,12.37
17,1 to < 5,103.56
17,5 to < 10,126.48
17,10 to < 15,137.53
17,15 to < 20,147.71
17,20 to < 25,157.05
17,25 to < 30,199.49
17,30 to < 35,288.62
17,35 to < 40,411.72
17,40 to < 45,528.01
17,45 to < 50,651.11
17,50 to < 60,864.19
17,60 to < 70,1217.33
17,70 to < 80,1552.64
17,80 to < 90,1898.16
17,90 to < 100,2242.81
17,100 to < 150,12.78
18,1 to < 5,109.51
18,5 to < 10,139.22
18,10 to < 15,147.71
18,15 to < 20,156.2
18,20 to < 25,165.53
18,25 to < 30,207.13
18,30 to < 35,297.97
18,35 to < 40,422.75
18,40 to < 45,546.69
18,45 to < 50,673.19
18,50 to < 60,897.29
18,60 to < 70,1261.48
18,70 to < 80,1601.89
18,80 to < 90,1960.12
18,90 to < 100,2318.37
18,100 to < 150,13.21
19,1 to < 5,124.18
19,5 to < 10,160.17
19,10 to < 15,165.56
19,15 to < 20,171.88
19,20 to < 25,181.77
19,25 to < 30,229.46
19,30 to < 35,317.65
19,35 to < 40,461.63
19,40 to < 45,600.19
19,45 to < 50,736.07
19,50 to < 60,988.92
19,60 to < 70,1383.06
19,70 to < 80,1750.19
19,80 to < 90,2145.22
19,90 to < 100,2540.25
19,100 to < 150,14.47
20,1 to < 5,141.65
20,5 to < 10,161.76
20,10 to < 15,167.87
20,15 to < 20,174.88
20,20 to < 25,186.24
20,25 to < 30,233.46
20,30 to < 35,319.15
20,35 to < 40,462.55
20,40 to < 45,605.06
20,45 to < 50,738.85
20,50 to < 60,995.9
20,60 to < 70,1392.01
20,70 to < 80,1754
20,80 to < 90,2150.96
20,90 to < 100,2551.43
20,100 to < 150,14.54
21,1 to < 5,154.13
21,5 to < 10,165.38
21,10 to < 15,175.77
21,15 to < 20,185.3
21,20 to < 25,198.29
21,25 to < 30,247.65
21,30 to < 35,337.7
21,35 to < 40,471.04
21,40 to < 45,620.84
21,45 to < 50,754.19
21,50 to < 60,1025.21
21,60 to < 70,1427.85
21,70 to < 80,1790.65
21,80 to < 90,2200.22
21,90 to < 100,2611.51
21,100 to < 150,14.88
22,1 to < 5,170.61
22,5 to < 10,173.19
22,10 to < 15,186.05
22,15 to < 20,197.2
22,20 to < 25,210.07
22,25 to < 30,271.8
22,30 to < 35,362.68
22,35 to < 40,481
22,40 to < 45,636.19
22,45 to < 50,770.8
22,50 to < 60,1053.74
22,60 to < 70,1462.73
22,70 to < 80,1828.84
22,80 to < 90,2248.1
22,90 to < 100,2672.51
22,100 to < 150,15.23
23,1 to < 5,174.02
23,5 to < 10,179.12
23,10 to < 15,190.15
23,15 to < 20,207.13
23,20 to < 25,222.41
23,25 to < 30,291.17
23,30 to < 35,392.19
23,35 to < 40,506.8
23,40 to < 45,652.81
23,45 to < 50,787.79
23,50 to < 60,1082.36
23,60 to < 70,1500.02
23,70 to < 80,1867.6
23,80 to < 90,2299.69
23,90 to < 100,2735.18
23,100 to < 150,15.59
24,1 to < 5,186.76
24,5 to < 10,193.55
24,10 to < 15,205.44
24,15 to < 20,218.17
24,20 to < 25,234.31
24,25 to < 30,303.05
24,30 to < 35,411.72
24,35 to < 40,537.35
24,40 to < 45,676.58
24,45 to < 50,812.4
24,50 to < 60,1123.94
24,60 to < 70,1552.64
24,70 to < 80,1934.65
24,80 to < 90,2372.7
24,90 to < 100,2826.86
24,100 to < 150,16.11
25,1 to < 5,193.55
25,5 to < 10,212.23
25,10 to < 15,236.84
25,15 to < 20,251.28
25,20 to < 25,267.41
25,25 to < 30,309
25,30 to < 35,425.31
25,35 to < 40,553.48
25,40 to < 45,701.2
25,45 to < 50,839.57
25,50 to < 60,1167.25
25,60 to < 70,1607.83
25,70 to < 80,2063.7
25,80 to < 90,2517.86
25,90 to < 100,2973.72
25,100 to < 150,16.94
26,1 to < 5,226.66
26,5 to < 10,247.04
26,10 to < 15,278.44
26,15 to < 20,292.87
26,20 to < 25,309
26,25 to < 30,352.3
26,30 to < 35,438.04
26,35 to < 40,586.6
26,40 to < 45,729.21
26,45 to < 50,892.2
26,50 to < 60,1219.88
26,60 to < 70,1708.85
26,70 to < 80,2192.72
26,80 to < 90,2675.75
26,90 to < 100,3159.63
26,100 to < 150,18.01
27,1 to < 5,242.8
27,5 to < 10,266.55
27,10 to < 15,295.42
27,15 to < 20,319.19
27,20 to < 25,342.11
27,25 to < 30,365.03
27,30 to < 35,464.35
27,35 to < 40,612.91
27,40 to < 45,759.77
27,45 to < 50,932.95
27,50 to < 60,1309.87
27,60 to < 70,1801.38
27,70 to < 80,2309.89
27,80 to < 90,2820.92
27,90 to < 100,3329.42
27,100 to < 150,18.97
28,1 to < 5,275.05
28,5 to < 10,297.97
28,10 to < 15,326.83
28,15 to < 20,348.05
28,20 to < 25,370.13
28,25 to < 30,390.5
28,30 to < 35,476.24
28,35 to < 40,640.93
28,40 to < 45,797.98
28,45 to < 50,978.79
28,50 to < 60,1365.89
28,60 to < 70,1912.58
28,70 to < 80,2453.35
28,80 to < 90,2995.79
28,90 to < 100,3537.4
28,100 to < 150,20.15
29,1 to < 5,280.99
29,5 to < 10,299.66
29,10 to < 15,328.52
29,15 to < 20,350.6
29,20 to < 25,377.77
29,25 to < 30,398.14
29,30 to < 35,491.51
29,35 to < 40,658.75
29,40 to < 45,815.8
29,45 to < 50,996.61
29,50 to < 60,1385.41
29,60 to < 70,1931.26
29,70 to < 80,2478.82
29,80 to < 90,3025.51
29,90 to < 100,3572.21
