from_date,fin_network,division,branch_col,service_level,tarsrt,country,city,city2,from_postcode,thru_postcode,till_date,zone_code,remark,lookup,branch,zone
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNcedana,,,,2098-01-01 00:00:00,X4UTT,,iNcedana,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Indermark,,,,2098-01-01 00:00:00,X4POL,,Indermark,POL,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Indwe,,,,2098-01-01 00:00:00,X6UTT,,Indwe,UTT,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Infanta,,,,2098-01-01 00:00:00,X6GRJ,,Infanta,GRJ,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNgcingwane,,,,2098-01-01 00:00:00,X4UTT,,iNgcingwane,UTT,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Inglewood,,,,2098-01-01 00:00:00,X2ELS,,Inglewood,ELS,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ingogo,,,,2098-01-01 00:00:00,X1NCS,,Ingogo,NCS,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ingwavuma,,,,2098-01-01 00:00:00,X6EMG,,Ingwavuma,EMG,6
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Ingwemabala,,,,2098-01-01 00:00:00,X1ZCK,,Ingwemabala,ZCK,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNgxalathi,,,,2098-01-01 00:00:00,X4ELS,,iNgxalathi,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Inkamana Mission,,,,2098-01-01 00:00:00,X4NCS,,Inkamana Mission,NCS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNkonkwane,,,,2098-01-01 00:00:00,X5ELS,,iNkonkwane,ELS,5
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNtlambonkulu,,,,2098-01-01 00:00:00,X4ELS,,iNtlambonkulu,ELS,4
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Intsingizi,,,,2098-01-01 00:00:00,X3ZCK,,Intsingizi,ZCK,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Inverness,,,,2098-01-01 00:00:00,X1NCS,,Inverness,NCS,1
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Invicta,,,,2098-01-01 00:00:00,X3UTT,,Invicta,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,iNyoka,,,,2098-01-01 00:00:00,X3UTT,,iNyoka,UTT,3
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Iqadi,Gunjini,,,2098-01-01 00:00:00,X2DUR,,IqadiGunjini,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Iqadi,Iqadi,,,2098-01-01 00:00:00,X2DUR,,IqadiIqadi,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Iqadi,Iqadi Outlying,,,2098-01-01 00:00:00,X2DUR,,IqadiIqadi Outlying,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Iqadi,Iqadi SP,,,2098-01-01 00:00:00,X2DUR,,IqadiIqadi SP,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Iqadi,Kwazini,,,2098-01-01 00:00:00,X2DUR,,IqadiKwazini,DUR,2
2022-01-01 00:00:00,ZADISFINNET,0,0,exp,,ZA,Iqadi,Lower Manaza,,,2098-01-01 00:00:00,X2DUR,,IqadiLower Manaza,DUR,2
