orig_type,dest_type,type_lookup,sla_type,sla_type_code,route,tariff,c8,service,service_code,facility_type,route_band,route_type,lookup,sla_days,sla_text,c17,blns_service,blns_band,blns_code,blns_lookup,blns_sla,onx_lookup,onx_days,onx_sla
,,,,,EMG-PLZ,7,,Express,ONX,Regional Bi-weekly,5,Regional Bi-weekly,ExpressRegional Bi-weekly5,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-PTA,3,,Express,ONX,Regional Bi-weekly,6,Regional Bi-weekly,ExpressRegional Bi-weekly6,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-PTG,4,,Express,ONX,Regional Bi-weekly,7,Regional Bi-weekly,ExpressRegional Bi-weekly7,3,3 days by 14h30,,,,,,,,,
,,,,,EMG-PZB,3,,Express,ONX,Regional Bi-weekly,8,Regional Bi-weekly,ExpressRegional Bi-weekly8,4,4 days by 14h30,,,,,,,,,
,,,,,EMG-VDB,5,,Express,ONX,Regional Bi-weekly,9,Regional Bi-weekly,ExpressRegional Bi-weekly9,4,4 days by 14h30,,,,,,,,,
,,,,,EMG-WDH,9,,,,,,,,,,,,,,,,,,
,,,,,EMG-WIR,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-BFN,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-CPT,7,,,,,,,,,,,,,,,,,,
,,,,,GBE-DUR,6,,,,,,,,,,,,,,,,,,
,,,,,GBE-ELS,6,,,,,,,,,,,,,,,,,,
,,,,,GBE-EMG,7,,,,,,,,,,,,,,,,,,
,,,,,GBE-GRJ,7,,,,,,,,,,,,,,,,,,
,,,,,GBE-JNB,4,,,,,,,,,,,,,,,,,,
,,,,,GBE-KIM,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-KPR,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-NCS,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-NLP,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-PLZ,6,,,,,,,,,,,,,,,,,,
,,,,,GBE-PTA,4,,,,,,,,,,,,,,,,,,
,,,,,GBE-PTG,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-PZB,6,,,,,,,,,,,,,,,,,,
,,,,,GBE-VDB,5,,,,,,,,,,,,,,,,,,
,,,,,GBE-WIR,5,,,,,,,,,,,,,,,,,,
,,,,,GRJ-BFN,5,,,,,,,,,,,,,,,,,,
,,,,,GRJ-CPT,3,,,,,,,,,,,,,,,,,,
,,,,,GRJ-DUR,6,,,,,,,,,,,,,,,,,,
,,,,,GRJ-ELS,4,,,,,,,,,,,,,,,,,,
,,,,,GRJ-EMG,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-GBE,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-GRJ,1,,,,,,,,,,,,,,,,,,
,,,,,GRJ-JNB,6,,,,,,,,,,,,,,,,,,
,,,,,GRJ-KIM,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-KPR,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-MBE,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-MSU,6,,,,,,,,,,,,,,,,,,
,,,,,GRJ-MTS,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-NCS,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-NLP,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-PLZ,2,,,,,,,,,,,,,,,,,,
,,,,,GRJ-PTA,6,,,,,,,,,,,,,,,,,,
,,,,,GRJ-PTG,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-PZB,6,,,,,,,,,,,,,,,,,,
,,,,,GRJ-VDB,7,,,,,,,,,,,,,,,,,,
,,,,,GRJ-WDH,9,,,,,,,,,,,,,,,,,,
,,,,,GRJ-WIR,7,,,,,,,,,,,,,,,,,,
,,,,,JNB-BFN,3,,,,,,,,,,,,,,,,,,
,,,,,JNB-CPT,5,,,,,,,,,,,,,,,,,,
,,,,,JNB-DUR,2,,,,,,,,,,,,,,,,,,
,,,,,JNB-ELS,6,,,,,,,,,,,,,,,,,,
,,,,,JNB-EMG,3,,,,,,,,,,,,,,,,,,
,,,,,JNB-GBE,4,,,,,,,,,,,,,,,,,,
,,,,,JNB-GRJ,6,,,,,,,,,,,,,,,,,,
,,,,,JNB-JNB,1,,,,,,,,,,,,,,,,,,
,,,,,JNB-KIM,3,,,,,,,,,,,,,,,,,,
,,,,,JNB-KPR,2,,,,,,,,,,,,,,,,,,
,,,,,JNB-MBE,4,,,,,,,,,,,,,,,,,,
,,,,,JNB-MSU,4,,,,,,,,,,,,,,,,,,
,,,,,JNB-MTS,4,,,,,,,,,,,,,,,,,,
,,,,,JNB-NCS,3,,,,,,,,,,,,,,,,,,
,,,,,JNB-NLP,3,,,,,,,,,,,,,,,,,,
,,,,,JNB-PLZ,6,,,,,,,,,,,,,,,,,,
,,,,,JNB-PTA,1,,,,,,,,,,,,,,,,,,
,,,,,JNB-PTG,3,,,,,,,,,,,,,,,,,,
,,,,,JNB-PZB,2,,,,,,,,,,,,,,,,,,
,,,,,JNB-VDB,2,,,,,,,,,,,,,,,,,,
,,,,,JNB-WDH,7,,,,,,,,,,,,,,,,,,
,,,,,JNB-WIR,2,,,,,,,,,,,,,,,,,,
,,,,,KIM-BFN,4,,,,,,,,,,,,,,,,,,
