town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
QBA,ELS,BFN,QIBA,Eastern Cape,Outlying,O,207,QQD,OR,LOC,Outlying Adhoc,8
QBQ,ELS,ELS,QOBOQOBO,Eastern Cape,Outlying,O,42,BWH,OR,LOC,Outlying Adhoc,4
QOM,ELS,ELS,QOLORA MOUTH,Eastern Cape,Outlying,O,113,BWH,OR,LOC,Outlying Adhoc,4
QQD,ELS,ELS,QOQODALA,Eastern Cape,Regional,R,NULL,ELS,RM,LOC,Regional Daily,6
QRM,ELS,ELS,QORA MOUTH,Eastern Cape,Outlying,O,151,BWH,OR,LOC,Outlying Adhoc,5
QUD,EMG,DUR,QUDENI,KwaZulu-Natal,Outlying,O,115,NQT,OR,LOC,Outlying Adhoc,6
QTN,ELS,ELS,QUEENSTOWN,Eastern Cape,Regional,R,NULL,ELS,RM,LOC,Regional Daily,6
QUI,MSU,MSU,QUITENG,NULL,Regional,R,NULL,MSU,RM,BLNS,Regional Daily,10
QKO,ELS,ELS,QUKO,Eastern Cape,Outlying,O,100,BCB,OS,LOC,Outlying Adhoc,3
QMB,ELS,ELS,QUMBU,Eastern Cape,Outlying,O,119,UTT,OR,LOC,Outlying Bi-weekly,2
RAD,PTA,JNB,RADIUM,Limpopo,Outlying,O,46,WSR,OR,LOC,Outlying Bi-weekly,4
RNA,GBE,GBE,RAMOTSWANA,NULL,Outlying,O,62,GBE,OM,BLNS,Outlying Adhoc,10
RMG,DUR,PSH,RAMSGATE,KwaZulu-Natal,Outlying,O,10,MAR,OR,LOC,Outlying Bi-weekly,1
RLH,EMG,EMG,RANDALHURST,KwaZulu-Natal,Outlying,O,33,MEH,OR,LOC,Outlying Adhoc,3
RDB,JNB,JNB,RANDBURG,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
RDF,VDB,JNB,RANDFONTEIN,Gauteng,Regional,R,NULL,VDB,RM,LOC,Regional Daily,3
RKR,PTA,PTG,RANKINS PASS,Limpopo,Outlying,O,110,NSR,OR,LOC,Outlying Adhoc,5
RFL,CPT,VDR,RATELFONTEIN,Western Cape,Outlying,O,79,CWM,OR,LOC,Outlying Adhoc,4
RWV,CPT,CPT,RAWSONVILLE,Western Cape,Outlying,O,35,WOR,OR,LOC,Outlying Bi-weekly,3
RZZ,NULL,NULL,RDS OTHER,NULL,Outlying,NULL,NULL,NULL,,LOC,Outlying Adhoc,0
RDC,PZB,DUR,REDCLIFFE,KwaZulu-Natal,Outlying,O,62,MRR,OR,LOC,Outlying Adhoc,5
RDG,BFN,BFN,REDDERSBURG,Free State,Outlying,O,120,BFN,OM,LOC,Outlying Bi-weekly,3
RDH,CPT,VDR,REDELINGHUYS,Western Cape,Outlying,O,123,VLF,OR,LOC,Outlying Bi-weekly,3
REE,KIM,KIM,REEBOKRAND,Free State,Outlying,O,235,HPT,OR,LOC,Outlying Adhoc,5
RBH,WDH,WDH,REHOBOTH,NULL,Outlying,O,192,WDH,OM,BLNS,Outlying Adhoc,10
RTZ,VDB,BEM,REITZ,Free State,Regional,R,NULL,VDB,RM,LOC,Regional Daily,2
RZB,KPR,KPR,REITZBURG,Free State,Outlying,O,68,PYR,OR,LOC,Outlying Adhoc,3
REV,KIM,KIM,REIVILO,North West,Outlying,O,163,HWA,OR,LOC,Outlying Bi-weekly,5
RKP,GRJ,GRJ,RENOSTERKOP,Western Cape,Outlying,O,64,BFU,OR,LOC,Outlying Adhoc,7
RSP,BFN,BFN,RENOSTERSPRUIT,North West,Outlying,O,23,BFN,OM,LOC,Outlying Bi-weekly,1
RSV,GRJ,GRJ,RESTVALE,Western Cape,Outlying,O,107,BFU,OR,LOC,Outlying Adhoc,7
RNL,GRJ,GRJ,RHEENENDAL,Western Cape,Outlying,O,46,KYL,OR,LOC,Outlying Adhoc,3
RHO,BFN,BFN,RHODES,Eastern Cape,Outlying,O,342,AWL,OR,LOC,Outlying Adhoc,8
RBY,EMG,EMG,RICHARD'S BAY,KwaZulu-Natal,Main (Suburb),S,NULL,EMG,SM,LOC,Branch,1
RBY,EMG,EMG,RICHARDS BAY,KwaZulu-Natal,Main (Suburb),S,NULL,EMG,SM,LOC,Branch,1
RMD,PZB,DUR,RICHMOND (KZN),KwaZulu-Natal,Regional,R,NULL,PZB,RM,LOC,Regional Bi-weekly,3
RHD,KIM,KIM,RICHMOND (NC),Northern Cape,Outlying,O,187,DER,OR,LOC,Outlying Bi-weekly,6
RBO,PLZ,PLZ,RIEBEEK EAST,Eastern Cape,Outlying,O,81,GHO,OR,LOC,Outlying Adhoc,4
RKK,CPT,VDR,RIEBEEK-KASTEEL,Western Cape,Outlying,O,43,MBY,OR,LOC,Outlying Bi-weekly,4
RBO,PLZ,PLZ,RIEBEEK-OOS,Eastern Cape,Outlying,O,81,GHO,OR,LOC,Outlying Adhoc,4
RWR,CPT,VDR,RIEBEEK-WES,Western Cape,Outlying,O,51,MBY,OR,LOC,Outlying Bi-weekly,4
RTB,GRJ,GRJ,RIETBRON,Western Cape,Outlying,O,168,BFU,OR,LOC,Outlying Bi-weekly,6
RIK,PTG,PTG,RIETKOLK,Limpopo,Outlying,O,27,PTG,OM,LOC,Outlying Bi-weekly,2
